open_time,regime_label,close,reject_reason,specialist_pred_proba,specialist_pred_label,actual_label,threshold,band_name,band_min,band_max
2025-11-27 22:30:00,range,3020.03,non_compression_regime,,,,0.78,ge_0.78,0.78,
2025-11-28 12:30:00,compression,3001.91,outside_band_or_negative_prediction,0.10528573692072939,0.0,1.0,0.78,ge_0.78,0.78,
2025-11-28 16:30:00,range,3034.02,non_compression_regime,,,,0.78,ge_0.78,0.78,
2025-11-28 17:30:00,range,3036.08,non_compression_regime,,,,0.78,ge_0.78,0.78,
2025-11-28 21:30:00,range,3025.59,non_compression_regime,,,,0.78,ge_0.78,0.78,
2025-11-28 22:30:00,range,3034.78,non_compression_regime,,,,0.78,ge_0.78,0.78,
2025-11-29 19:30:00,compression,2988.28,outside_band_or_negative_prediction,0.4768938575607761,0.0,1.0,0.78,ge_0.78,0.78,
2025-12-01 11:30:00,trend_down,2824.56,non_compression_regime,,,,0.78,ge_0.78,0.78,
2025-12-01 21:30:00,high_volatility,2731.47,non_compression_regime,,,,0.78,ge_0.78,0.78,
2025-12-02 01:30:00,high_volatility,2757.82,non_compression_regime,,,,0.78,ge_0.78,0.78,
2025-12-02 12:30:00,range,2805.65,non_compression_regime,,,,0.78,ge_0.78,0.78,
2025-12-02 13:30:00,range,2798.18,non_compression_regime,,,,0.78,ge_0.78,0.78,
2025-12-02 14:30:00,range,2798.05,non_compression_regime,,,,0.78,ge_0.78,0.78,
2025-12-02 15:30:00,range,2823.13,non_compression_regime,,,,0.78,ge_0.78,0.78,
2025-12-02 16:30:00,range,2826.18,non_compression_regime,,,,0.78,ge_0.78,0.78,
2025-12-02 17:30:00,range,2827.86,non_compression_regime,,,,0.78,ge_0.78,0.78,
2025-12-02 18:30:00,range,2844.73,non_compression_regime,,,,0.78,ge_0.78,0.78,
2025-12-02 19:30:00,trend_up,2894.98,non_compression_regime,,,,0.78,ge_0.78,0.78,
2025-12-02 21:30:00,trend_up,2995.58,non_compression_regime,,,,0.78,ge_0.78,0.78,
2025-12-03 01:30:00,trend_up,2979.72,non_compression_regime,,,,0.78,ge_0.78,0.78,
2025-12-03 02:30:00,trend_up,2995.45,non_compression_regime,,,,0.78,ge_0.78,0.78,
2025-12-03 04:30:00,trend_up,2996.07,non_compression_regime,,,,0.78,ge_0.78,0.78,
2025-12-03 05:30:00,trend_up,3003.2,non_compression_regime,,,,0.78,ge_0.78,0.78,
2025-12-03 06:30:00,trend_up,3015.84,non_compression_regime,,,,0.78,ge_0.78,0.78,
2025-12-03 07:30:00,trend_up,3031.0,non_compression_regime,,,,0.78,ge_0.78,0.78,
2025-12-03 08:30:00,trend_up,3030.75,non_compression_regime,,,,0.78,ge_0.78,0.78,
2025-12-03 12:30:00,trend_up,3057.44,non_compression_regime,,,,0.78,ge_0.78,0.78,
2025-12-03 13:30:00,trend_up,3050.77,non_compression_regime,,,,0.78,ge_0.78,0.78,
2025-12-03 17:30:00,range,3081.14,non_compression_regime,,,,0.78,ge_0.78,0.78,
2025-12-03 19:30:00,range,3076.53,non_compression_regime,,,,0.78,ge_0.78,0.78,
2025-12-03 20:30:00,range,3086.12,non_compression_regime,,,,0.78,ge_0.78,0.78,
2025-12-03 21:30:00,range,3088.35,non_compression_regime,,,,0.78,ge_0.78,0.78,
2025-12-03 23:30:00,range,3115.3,non_compression_regime,,,,0.78,ge_0.78,0.78,
2025-12-04 00:30:00,range,3128.2,non_compression_regime,,,,0.78,ge_0.78,0.78,
2025-12-04 01:30:00,range,3138.26,non_compression_regime,,,,0.78,ge_0.78,0.78,
2025-12-04 02:30:00,range,3164.42,non_compression_regime,,,,0.78,ge_0.78,0.78,
2025-12-04 03:30:00,high_volatility,3189.22,non_compression_regime,,,,0.78,ge_0.78,0.78,
2025-12-04 04:30:00,high_volatility,3188.36,non_compression_regime,,,,0.78,ge_0.78,0.78,
2025-12-04 05:30:00,high_volatility,3198.29,non_compression_regime,,,,0.78,ge_0.78,0.78,
2025-12-04 10:30:00,range,3185.31,non_compression_regime,,,,0.78,ge_0.78,0.78,
2025-12-05 00:30:00,trend_down,3119.27,non_compression_regime,,,,0.78,ge_0.78,0.78,
2025-12-05 02:30:00,trend_down,3123.34,non_compression_regime,,,,0.78,ge_0.78,0.78,
2025-12-05 03:30:00,trend_down,3143.66,non_compression_regime,,,,0.78,ge_0.78,0.78,
2025-12-05 04:30:00,trend_down,3133.26,non_compression_regime,,,,0.78,ge_0.78,0.78,
2025-12-05 05:30:00,trend_down,3146.68,non_compression_regime,,,,0.78,ge_0.78,0.78,
2025-12-05 06:30:00,trend_down,3163.56,non_compression_regime,,,,0.78,ge_0.78,0.78,
2025-12-05 23:30:00,trend_down,3007.53,non_compression_regime,,,,0.78,ge_0.78,0.78,
2025-12-06 02:30:00,trend_down,3020.22,non_compression_regime,,,,0.78,ge_0.78,0.78,
2025-12-06 04:30:00,trend_down,3021.78,non_compression_regime,,,,0.78,ge_0.78,0.78,
2025-12-06 13:30:00,range,3014.45,non_compression_regime,,,,0.78,ge_0.78,0.78,
2025-12-06 14:30:00,range,3030.0,non_compression_regime,,,,0.78,ge_0.78,0.78,
2025-12-06 15:30:00,range,3030.65,non_compression_regime,,,,0.78,ge_0.78,0.78,
2025-12-06 19:30:00,compression,3055.11,outside_band_or_negative_prediction,0.04348458857770912,0.0,0.0,0.78,ge_0.78,0.78,
