run_ts,strategy_name,open_time,regime_label,close,specialist_pred_proba,specialist_pred_label,actual_label,decision,reject_reason,threshold,required_regime,required_label,current_equity_before,current_equity_after
2026-04-18 16:26:55.266437,compression_specialist_paper_v1,2025-08-07 06:30:00,range,3667.55,0.9999982638057631,1,1,reject,non_required_regime,0.78,compression,1,100000.0,100000.0
2026-04-18 16:26:55.266437,compression_specialist_paper_v1,2025-08-07 07:30:00,range,3659.03,0.9999994801027726,1,1,reject,non_required_regime,0.78,compression,1,100000.0,100000.0
2026-04-18 16:26:55.266437,compression_specialist_paper_v1,2025-08-07 08:30:00,range,3656.78,0.9999992118041674,1,1,reject,non_required_regime,0.78,compression,1,100000.0,100000.0
2026-04-18 16:26:55.266437,compression_specialist_paper_v1,2025-08-07 09:30:00,range,3662.27,0.9999961228806481,1,1,reject,non_required_regime,0.78,compression,1,100000.0,100000.0
2026-04-18 16:26:55.266437,compression_specialist_paper_v1,2025-08-07 10:30:00,range,3688.0,0.9999996680400373,1,1,reject,non_required_regime,0.78,compression,1,100000.0,100000.0
2026-04-18 16:26:55.266437,compression_specialist_paper_v1,2025-08-07 11:30:00,range,3695.14,0.999999391199641,1,1,reject,non_required_regime,0.78,compression,1,100000.0,100000.0
2026-04-18 16:26:55.266437,compression_specialist_paper_v1,2025-08-07 12:30:00,range,3702.4,0.9999836874024768,1,1,reject,non_required_regime,0.78,compression,1,100000.0,100000.0
2026-04-18 16:26:55.266437,compression_specialist_paper_v1,2025-08-07 13:30:00,range,3721.25,0.9999716775126885,1,1,reject,non_required_regime,0.78,compression,1,100000.0,100000.0
2026-04-18 16:26:55.266437,compression_specialist_paper_v1,2025-08-07 14:30:00,range,3732.41,0.9999441987431223,1,1,reject,non_required_regime,0.78,compression,1,100000.0,100000.0
2026-04-18 16:26:55.266437,compression_specialist_paper_v1,2025-08-07 15:30:00,trend_up,3821.48,0.9999985517749533,1,1,reject,non_required_regime,0.78,compression,1,100000.0,100000.0
2026-04-18 16:26:55.266437,compression_specialist_paper_v1,2025-08-07 16:30:00,trend_up,3827.0,0.9999974118018146,1,1,reject,non_required_regime,0.78,compression,1,100000.0,100000.0
2026-04-18 16:26:55.266437,compression_specialist_paper_v1,2025-08-07 19:30:00,trend_up,3820.33,0.9999982813441725,1,1,reject,non_required_regime,0.78,compression,1,100000.0,100000.0
2026-04-18 16:26:55.266437,compression_specialist_paper_v1,2025-08-07 21:30:00,trend_up,3815.29,0.9999997018926741,1,1,reject,non_required_regime,0.78,compression,1,100000.0,100000.0
2026-04-18 16:26:55.266437,compression_specialist_paper_v1,2025-08-07 22:30:00,trend_up,3830.2,0.9999937631709607,1,1,reject,non_required_regime,0.78,compression,1,100000.0,100000.0
2026-04-18 16:26:55.266437,compression_specialist_paper_v1,2025-08-07 23:30:00,trend_up,3827.7,0.999997465953966,1,1,reject,non_required_regime,0.78,compression,1,100000.0,100000.0
2026-04-18 16:26:55.266437,compression_specialist_paper_v1,2025-08-08 00:30:00,trend_up,3867.6,0.9999996038408767,1,1,reject,non_required_regime,0.78,compression,1,100000.0,100000.0
2026-04-18 16:26:55.266437,compression_specialist_paper_v1,2025-08-08 01:30:00,trend_up,3874.14,0.9999995998570705,1,1,reject,non_required_regime,0.78,compression,1,100000.0,100000.0
2026-04-18 16:26:55.266437,compression_specialist_paper_v1,2025-08-08 05:30:00,high_volatility,3900.16,0.9999983458584726,1,1,reject,non_required_regime,0.78,compression,1,100000.0,100000.0
2026-04-18 16:26:55.266437,compression_specialist_paper_v1,2025-08-08 06:30:00,high_volatility,3887.36,0.9999991645732744,1,1,reject,non_required_regime,0.78,compression,1,100000.0,100000.0
2026-04-18 16:26:55.266437,compression_specialist_paper_v1,2025-08-08 13:30:00,range,3898.46,0.9999996651079297,1,1,reject,non_required_regime,0.78,compression,1,100000.0,100000.0
2026-04-18 16:26:55.266437,compression_specialist_paper_v1,2025-08-08 14:30:00,range,3900.03,0.9999979790148371,1,1,reject,non_required_regime,0.78,compression,1,100000.0,100000.0
2026-04-18 16:26:55.266437,compression_specialist_paper_v1,2025-08-08 15:30:00,range,3897.41,0.9999977146027222,1,1,reject,non_required_regime,0.78,compression,1,100000.0,100000.0
2026-04-18 16:26:55.266437,compression_specialist_paper_v1,2025-08-08 17:30:00,range,3892.37,0.9999993967158556,1,1,reject,non_required_regime,0.78,compression,1,100000.0,100000.0
